index,run,planner,worker,mapped_area_um2,reduction_pct,wns_ns,turns,verilator_88,icarus_14,status
1,msweep3-d2s-r4,deepseek,sol,235508.8,39.44,-3.28,1,88/88,14/14,timing_slack
2,msweep3-d2s-r3,deepseek,sol,238384.6,38.70,-3.42,2,88/88,14/14,timing_slack
3,msweep3-c2s-r2,claude,sol,238558.8,38.66,-3.30,1,88/88,14/14,timing_slack
4,msweep3-c2s-r1,claude,sol,239277.0,38.47,-3.26,1,88/88,14/14,timing_slack
5,msweep4-impl-grok-r2,gemini,grok,239599.8,38.39,-0.41,1,88/88,14/14,timing_viable
6,msweep2-impl-sol-r2,gemini,sol,239634.8,38.38,-0.13,6,88/88,14/14,timing_viable
7,msweep2-impl-sol-r1,gemini,sol,239843.8,38.33,-0.15,4,88/88,14/14,timing_viable
8,msweep3-s2g-r1,sol,gemini,240572.0,38.14,-3.46,1,88/88,14/14,timing_slack
9,msweep3-s2s-r1,sol,sol,241032.1,38.02,-3.31,1,88/88,14/14,timing_slack
10,msweep2-impl-glm-r2,gemini,glm,241047.4,38.02,-0.08,7,88/88,14/14,timing_viable
11,msweep3-d2s-r1,deepseek,sol,241199.2,37.98,-3.20,1,88/88,14/14,timing_slack
12,msweep4-impl-grok-r1,gemini,grok,241212.6,37.98,0.28,1,88/88,14/14,timing_met
13,msweep3-d2g-r3,deepseek,gemini,241829.4,37.82,-0.12,1,88/88,0/14,icarus_fail
14,msweep3-g2s-r3,gemini,sol,242133.5,37.74,-0.17,7,88/88,14/14,timing_viable
15,msweep3-g2s-r1,gemini,sol,242412.5,37.67,-0.13,1,88/88,14/14,timing_viable
16,msweep3-g2s-r4,gemini,sol,244021.5,37.25,-3.20,7,88/88,14/14,timing_slack
17,msweep3-s2g-r4,sol,gemini,244115.4,37.23,-3.23,1,88/88,14/14,timing_slack
18,msweep3-s2s-r2,sol,sol,244238.0,37.20,-3.27,1,88/88,14/14,timing_slack
19,msweep3-s2s-r3,sol,sol,244240.5,37.20,-3.00,1,88/88,14/14,timing_slack
20,msweep3-s2g-r2,sol,gemini,244288.0,37.19,-3.08,1,88/88,14/14,timing_slack
21,msweep3-c2s-r4,claude,sol,244361.9,37.17,-2.98,1,88/88,14/14,timing_slack
22,msweep3-s2g-r3,sol,gemini,244459.5,37.14,-3.12,1,88/88,14/14,timing_slack
23,msweep3-c2g-r2,claude,gemini,244618.4,37.10,0.10,2,88/88,14/14,timing_met
24,msweep2-ref-gemini-r1,gemini,gemini,244722.2,37.07,-0.59,1,88/88,14/14,timing_viable
25,msweep3-g2g-r2,gemini,gemini,244801.0,37.05,-0.65,1,88/88,14/14,timing_viable
26,msweep2-ref-gemini-r2,gemini,gemini,244964.9,37.01,-0.87,1,88/88,14/14,timing_slack
27,msweep3-c2g-r1,claude,gemini,245012.5,37.00,-0.55,1,88/88,14/14,timing_viable
28,msweep3-d2g-r4,deepseek,gemini,245140.1,36.97,-0.31,3,88/88,0/14,icarus_fail
29,msweep3-g2g-r3,gemini,gemini,245153.9,36.96,-0.81,1,88/88,14/14,timing_slack
30,msweep2-impl-claude-r2,gemini,claude,245182.6,36.96,-0.35,12,88/88,14/14,timing_viable
31,msweep3-c2g-r4,claude,gemini,246640.3,36.58,0.07,1,88/88,14/14,timing_met
32,msweep3-d2g-r1,deepseek,gemini,246833.0,36.53,0.26,1,88/88,14/14,timing_met
33,msweep3-c2s-r3,claude,sol,247538.7,36.35,-4.36,1,88/88,0/14,icarus_fail
34,msweep3-s2s-r4,sol,sol,248763.6,36.04,-2.96,1,88/88,14/14,timing_slack
35,msweep3-g2g-r1,gemini,gemini,249551.8,35.83,0.18,1,88/88,0/14,icarus_fail
36,msweep3-d2g-r2,deepseek,gemini,249575.6,35.83,-0.39,2,88/88,14/14,timing_viable
37,msweep3-g2g-r4,gemini,gemini,249904.7,35.74,-6.67,1,88/88,14/14,timing_slack
38,msweep2-impl-kimi-r1,gemini,kimi,280718.0,27.82,-27.54,4,88/88,14/14,serialized
39,msweep3-c2g-r3,claude,gemini,280796.8,27.80,-27.98,1,88/88,14/14,serialized
40,msweep3-d2s-r2,deepseek,sol,309712.1,20.36,-3.15,2,88/88,14/14,timing_slack
