row_type,item_id,category,description,run_count,session_count,estimated_cost_usd,mean_cost_per_run_usd,median_cost_per_run_usd,min_cost_per_run_usd,max_cost_per_run_usd,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,total_tokens,total_minus_listed_tokens,mean_total_tokens_per_run,unpriced_session_count,pricing_incomplete,outcome,member_run_ids,models_used,notes,as_of_date,source_method
experiment_summary,fft_discovery,merge,One FFT shared-core discovery campaign,1,75,5.03417788,5.03417788,5.03417788,5.03417788,5.03417788,2080135,216387,3814899,899382,7861047,850244,7861047.00,0,no,accepted,merge-clean-1,google/gemini-3.8-flash;openai/gpt-5.6-sol;z-ai/glm-4.7-flash;z-ai/glm-5.3-flash,,2026-09-25,ccusage 20.0.21 session --json --offline; OpenCode SQLite session-directory join
experiment_summary,fft_reproduction,merge,"One FFT merge reproduction, 3 clean starts",3,52,10.26789568,3.42263189,3.75952802,0.85079625,5.65757140,3692560,239189,8952714,390671,14500467,1225333,4833489.00,0,no,3/3 accepted,merge-repro-1;merge-repro-2;merge-repro-3,google/gemini-3.8-flash;openai/gpt-5.6-sol,Mean and range reflect three distinct clean starts.,2026-09-25,ccusage 20.0.21 session --json --offline; OpenCode SQLite session-directory join
experiment_summary,mac_pilot,merge,"One MAC pilot, separately re-evaluated",1,1,0.03420100,0.03420100,0.03420100,0.03420100,0.03420100,3,2159,0,3430,5995,403,5995.00,0,no,pilot accepted on re-evaluation,mac-merge-1,openai/gpt-5.6-sol,Pilot used a four-gate ladder; keep separate from frozen six-gate clean starts.,2026-09-25,ccusage 20.0.21 session --json --offline; OpenCode SQLite session-directory join
experiment_summary,mac_clean_start,merge,"One MAC merge, frozen six-gate clean start",2,6,0.20684600,0.10342300,0.10342300,0.10063300,0.10621300,18,12523,0,20580,36134,3013,18067.00,0,no,2/2 accepted,mac-merge-2;mac-merge-3,openai/gpt-5.6-sol,,2026-09-25,ccusage 20.0.21 session --json --offline; OpenCode SQLite session-directory join
experiment_summary,fir_merge,merge,One FIR merge campaign,1,1,0.04359850,0.04359850,0.04359850,0.04359850,0.04359850,3,2534,0,4125,7456,794,7456.00,0,no,accepted,fir-merge-1,openai/gpt-5.6-sol,,2026-09-25,ccusage 20.0.21 session --json --offline; OpenCode SQLite session-directory join
experiment_summary,dwt_merge,merge,One DWT merge campaign,1,3,0.39322090,0.39322090,0.39322090,0.39322090,0.39322090,33,8670,144937,89215,248298,5443,248298.00,0,no,accepted,dwt-merge-1,openai/gpt-5.6-sol,,2026-09-25,ccusage 20.0.21 session --json --offline; OpenCode SQLite session-directory join
experiment_summary,fft_power_final,power,One final FFT PowerSave campaign,1,11,2.67604020,2.67604020,2.67604020,2.67604020,2.67604020,231,39488,2773591,617528,3449054,18216,3449054.00,0,no,Pareto area gain; mode-64 power target missed,ps-fft-6,openai/gpt-5.6-sol,,2026-09-25,ccusage 20.0.21 session --json --offline; OpenCode SQLite session-directory join
experiment_summary,fft_power_pilot,power,"One exploratory FFT power pilot, 5 runs",5,31,6.99765370,1.39953074,1.29146680,0.92122440,2.32962950,759,81933,7708716,1580393,9440209,68408,1888041.80,0,no,,ps-fft-1;ps-fft-2;ps-fft-3;ps-fft-4;ps-fft-5,openai/gpt-5.6-sol,Exploratory pilots; not equivalent to the final PowerSave campaign.,2026-09-25,ccusage 20.0.21 session --json --offline; OpenCode SQLite session-directory join
experiment_summary,accepted_merge_campaigns,merge,"Accepted merge campaigns across FFT, MAC, FIR and DWT",8,137,15.94573895,,,,,5772749,479303,12912550,1403973,22653402,2084827,,0,no,8 accepted campaigns,merge-clean-1;merge-repro-1;merge-repro-2;merge-repro-3;mac-merge-2;mac-merge-3;fir-merge-1;dwt-merge-1,google/gemini-3.8-flash;openai/gpt-5.6-sol;z-ai/glm-4.7-flash;z-ai/glm-5.3-flash,"Mixed domains and protocols; total only, no pooled per-experiment average.",2026-09-25,ccusage 20.0.21 session --json --offline; OpenCode SQLite session-directory join
reconciliation_total,named_paper_campaigns,portfolio,Named campaigns currently in paper cost table,10,149,18.65598015,,,,,5772983,520950,15686141,2024931,26108451,2103446,,0,no,,merge-clean-1;merge-repro-1;merge-repro-2;merge-repro-3;ps-fft-6;mac-merge-1;mac-merge-2;mac-merge-3;fir-merge-1;dwt-merge-1,google/gemini-3.8-flash;openai/gpt-5.6-sol;z-ai/glm-4.7-flash;z-ai/glm-5.3-flash,,2026-09-25,ccusage 20.0.21 session --json --offline; OpenCode SQLite session-directory join
