key,calls,input_tokens,output_tokens,reasoning_tokens,cache_read,cache_write,cost_usd
chia-generated-deepseek-2-20260919,1,27206,7938,0,0,0,0.0234
chia-generated-deepseek-20260919,1,0,0,0,0,0,0.0
chia-generated-deepseek-3-20260919,1,23769,2158,0,0,0,0.0049
chia-generated-deepseek-constrained-20260919,2,23850,184,0,0,0,0.0037
chia-generated-deepseek-constrained2-20260919,2,2214901,110594,0,0,0,0.4383
chia-generated-deepseek-repair-20260919,2,58924,31024,0,0,0,0.0276
diag-capture-1,2,28935,1956,0,0,0,0.0066
merged-e2e-gemini-1,2,29067,11354,0,0,0,0.0
merged-e2e-gemini-2,1,92,414,0,0,0,0.0
merged-e2e-gemini-3,1,92,387,0,0,0,0.0
merged-e2e-gemini-4,1,92,473,0,0,0,0.0
merged-e2e-gemini-5,2,31988,24307,0,0,0,0.0329
merged-e2e-gemini-6,5,188126,54567,0,0,0,0.1079
merged-e2e-gemini-7,2,28906,13869,0,0,0,0.0079
msweep-codex,3,66465,6463,0,0,0,0.0
msweep-free,13,563751,418036,0,0,0,0.0
msweep2-impl,272,5678986,4532455,0,0,0,22.0261
msweep3-c2g,5,17,20369,0,0,0,0.7432
msweep3-c2s,8,89865,40467,0,0,0,0.5603
msweep3-d2g,7,249463,18716,0,0,0,0.0502
msweep3-d2s,12,277339,56206,0,0,0,0.0279
msweep3-g2gor,66,0,0,0,0,0,0.0
msweep3-g2s,49,296898,76212,0,0,0,0.0
msweep3-s2g,4,77212,10502,0,0,0,0.0
msweep3-s2gor,83,278999,45277,0,0,0,0.0
msweep3-s2s,8,163389,37976,0,0,0,0.0
msweep4-impl,46,156415,17634,0,0,0,0.8277
