key,calls,input_tokens,output_tokens,reasoning_tokens,cache_read,cache_write,cost_usd
gemini/gemini-3.7-flash,10,87194,27905,0,0,0,0.0
openai/gpt-5.6-luna,45,23552,2861,2624,0,0,0.0
openai/gpt-5.6-sol,149,1404134,311252,186660,124928,0,0.0
openai/gpt-5.6-terra,37,834217,129661,43573,10752,0,0.0
opencode-go/deepseek-v4.1-flash,54,4061166,799285,24062,17377792,0,1.1553
opencode-go/glm-5.3-flash,69,1100823,2324312,0,1664768,0,1.3772
opencode-go/grok-4.6,2,156415,17634,64032,49792,0,0.8277
opencode-go/minimax-m3,33,1209309,456021,0,114413,0,0.9169
opencode-go/union-alpha,13,563751,418036,0,447855,0,0.0
opencode/opencode-go/deepseek-v4-flash,4,219930,78003,0,0,0,0.1407
openrouter/anthropic/claude-sonnet-4.6,38,116,514239,0,25040,1439228,13.1186
openrouter/google/gemini-3.8-flash,83,0,0,0,0,0,0.0
openrouter/moonshotai/kimi-k2.7-code,62,893966,458910,1522580,1920464,0,7.3376
openrouter/openai/gpt-5.6-sol,2,174,1419,0,0,0,0.0145
